CSDUID,CSDNAME,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3502023,Alfred and Plantagenet,45.5712706,-75.1164865,House,2645.0,3.5,3.0,0,0,0,693.2284334664314,1,10640
3502023,Alfred and Plantagenet,45.5691341,-75.1221313,House,1950.0,4.0,2.0,0,0,0,693.2284334664314,1,10640
3502023,Alfred and Plantagenet,45.5575834,-74.883277,Apartment,1450.0,2.0,1.0,0,0,1,693.2284334664314,1,10640
3502023,Alfred and Plantagenet,45.5357417,-75.1259068,House,1900.0,3.0,2.0,0,0,0,693.2284334664314,1,10640
3502023,Alfred and Plantagenet,45.5280182,-74.9925061,Apartment,1495.0,2.0,1.0,0,0,1,693.2284334664314,1,10640
3502023,Alfred and Plantagenet,45.5280182,-74.9925061,Apartment,1200.0,1.0,1.0,1,1,1,693.2284334664314,1,10640
3502023,Alfred and Plantagenet,45.5280182,-74.9925061,Apartment,1495.0,2.0,1.0,0,0,0,693.2284334664314,1,10640
3502023,Alfred and Plantagenet,45.5477034,-75.0347713,Apartment,1200.0,1.0,1.0,0,0,1,500.0,2,10640
3502025,The Nation / La Nation,45.3843513,-74.9057852,Apartment,1300.0,2.0,1.0,0,0,1,800.0,1,14292
3502025,The Nation / La Nation,45.3831091,-74.9041327,Apartment,1270.0,2.0,1.0,0,0,1,750.0,1,14292
3502025,The Nation / La Nation,45.3407405,-75.2507344,Condo,1475.0,1.5,1.0,0,0,0,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.2614049,-75.1224143,Apartment,2000.0,2.0,2.0,0,0,0,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.2530915,-75.1215289,Duplex/Triplex,1795.0,2.0,1.0,0,0,0,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.3369508,-75.2508545,Apartment,1850.0,2.0,1.0,0,1,1,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.3283243,-75.2073888,Apartment,3000.0,3.5,3.0,0,0,1,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.3844998,-74.9051104,Apartment,995.0,1.0,1.0,0,0,1,800.0,1,14292
3502025,The Nation / La Nation,45.3173996,-75.1832534,Condo,2400.0,2.0,2.0,0,1,1,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.3173996,-75.1832534,Condo,2050.0,2.0,1.0,0,0,0,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.3378169,-75.2509884,Condo,1475.0,1.5,1.0,0,0,0,693.2284334664314,1,14292
3502025,The Nation / La Nation,45.3343153,-75.2516203,House,2300.0,2.0,1.0,1,1,1,693.2284334664314,1,14292
3502036,Clarence-Rockland,45.5730024,-75.2070987,Apartment,2000.0,2.0,1.0,1,1,1,693.2284334664314,2,27561
3502036,Clarence-Rockland,45.5539701,-75.2796576,Apartment,1625.0,2.0,1.0,0,0,0,900.0,1,27561
3502036,Clarence-Rockland,45.5521119,-75.2707793,House,2100.0,3.0,2.0,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5493384,-75.2492617,Apartment,2300.0,3.0,2.0,0,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5483729,-75.2916118,Condo,2000.0,2.0,1.0,0,0,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5468464,-75.2767311,Townhouse,2100.0,3.0,2.0,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.545521,-75.2703042,Townhouse,2300.0,3.0,3.5,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5423481,-75.2898677,Apartment,1879.0,3.0,1.0,0,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5423481,-75.2898677,Apartment,2100.0,3.0,1.0,0,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5420939,-75.2848395,Apartment,2275.0,2.0,1.5,0,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5420939,-75.2848395,Apartment,2525.0,2.0,2.0,0,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5415422,-75.2862933,Apartment,2525.0,2.0,2.0,0,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5415422,-75.2862933,Apartment,2275.0,2.0,1.5,0,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5414125,-75.2774835,House,2600.0,3.0,2.5,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5404472,-75.299617,Townhouse,2150.0,3.0,2.0,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.4350506,-75.1581561,Duplex/Triplex,700.0,1.0,1.0,1,1,1,600.0,2,27561
3502036,Clarence-Rockland,45.4184061,-75.1482451,House,2350.0,5.0,1.0,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.4121908,-75.2427039,Apartment,1995.0,2.5,1.0,1,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5398104,-75.2925218,Apartment,1500.0,2.0,1.0,1,1,1,693.2284334664314,2,27561
3502036,Clarence-Rockland,45.5528151,-75.2864508,Apartment,1595.0,2.0,1.0,0,0,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5551534,-75.270576,Apartment,1400.0,2.0,1.0,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5483729,-75.2916118,Apartment,1500.0,1.0,1.0,1,1,1,400.0,1,27561
3502036,Clarence-Rockland,45.4409054,-75.1615896,Apartment,1850.0,2.0,1.0,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5426508,-75.2980547,Condo,1700.0,2.0,1.5,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5526067,-75.2832864,Condo,1995.0,2.0,1.0,1,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5429858,-75.2961355,Condo,2000.0,2.0,1.0,0,0,0,900.0,1,27561
3502036,Clarence-Rockland,45.5486129,-75.2954371,Duplex/Triplex,2225.0,3.0,1.0,1,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5366578,-75.2807006,House,2595.0,3.0,2.5,0,0,0,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5629391,-75.2221743,House,2700.0,3.0,2.5,1,1,1,693.2284334664314,1,27561
3502036,Clarence-Rockland,45.5460148,-75.2973037,Townhouse,2250.0,3.0,2.5,0,0,0,693.2284334664314,2,27561
3502036,Clarence-Rockland,45.5558928,-75.2788742,Townhouse,2400.0,3.0,1.5,0,0,0,693.2284334664314,2,27561
3502044,Casselman,45.3157884,-75.0897204,Apartment,1300.0,2.0,1.0,0,0,0,725.0,1,3920
3502044,Casselman,45.3107048,-75.0893653,Apartment,2500.0,2.0,1.5,1,1,1,693.2284334664314,2,3920
3502044,Casselman,45.3107048,-75.0893653,Apartment,1650.0,3.0,1.0,0,0,0,693.2284334664314,1,3920
3502044,Casselman,45.3200344,-75.0827344,Apartment,1975.0,3.5,1.0,0,0,1,693.2284334664314,1,3920
3502044,Casselman,45.3107048,-75.0893653,Apartment,2250.0,2.0,1.5,1,1,1,693.2284334664314,2,3920
3502044,Casselman,45.3107048,-75.0893653,House,2850.0,4.0,2.5,0,0,0,693.2284334664314,1,3920
3502044,Casselman,45.3153603,-75.1025348,House,2750.0,4.0,2.5,0,0,0,693.2284334664314,1,3920
3502044,Casselman,45.3107048,-75.0893653,House,2950.0,3.0,2.5,0,0,0,693.2284334664314,1,3920
3502044,Casselman,45.3158134,-75.0986758,Townhouse,2195.0,3.0,2.5,0,0,0,693.2284334664314,1,3920
3502048,Russell,45.26747902,-75.35624628,Townhouse,3000.0,4.0,3.0,0,0,0,693.2284334664314,1,20962
3502048,Russell,45.25884652,-75.36062272,Apartment,1850.0,2.0,2.0,0,0,0,693.2284334664314,1,20962
3502048,Russell,45.2838549,-75.2690504,House,2700.0,3.0,3.0,0,0,0,693.2284334664314,1,20962
3502048,Russell,45.2763929,-75.2625069,Basement,2000.0,3.0,1.5,0,0,1,693.2284334664314,1,20962
3502048,Russell,45.2763187,-75.2689874,Condo,1800.0,2.0,1.0,0,0,1,900.0,1,20962
3502048,Russell,45.275646,-75.275411,Townhouse,2200.0,3.0,2.0,0,0,0,693.2284334664314,1,20962
3502048,Russell,45.275646,-75.275411,Townhouse,2200.0,3.0,1.5,0,0,1,693.2284334664314,1,20962
3502048,Russell,45.275646,-75.275411,Duplex/Triplex,2095.0,3.0,2.0,0,0,1,693.2284334664314,1,20962
3502048,Russell,45.275646,-75.275411,Apartment,1500.0,1.0,1.0,1,1,1,680.0,1,20962
3502048,Russell,45.275646,-75.275411,Apartment,1650.0,2.0,1.0,0,0,1,693.2284334664314,1,20962
3502048,Russell,45.2730797,-75.2812118,Apartment,1895.0,3.0,1.0,0,0,1,693.2284334664314,1,20962
3502048,Russell,45.2729114,-75.3003126,Condo,1850.0,2.0,1.0,0,0,1,693.2284334664314,1,20962
3502048,Russell,45.2712947,-75.2827918,Apartment,1550.0,1.5,1.0,0,0,0,770.0,1,20962
